E:\fl-experiment\.venv\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-09-24 20:08:43,271 fflow.py init [line:848] INFO PROCESS ID:	25676
2026-09-24 20:08:43,271 fflow.py init [line:849] INFO Initializing devices: cuda:0 will be used for this running.
2026-09-24 20:08:43,271 fflow.py init [line:852] INFO BENCHMARK:	flgo.benchmark.mnist_classification
2026-09-24 20:08:43,271 fflow.py init [line:853] INFO TASK:			E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20
2026-09-24 20:08:43,271 fflow.py init [line:854] INFO MODEL:		flgo.benchmark.mnist_classification.model.cnn
2026-09-24 20:08:43,271 fflow.py init [line:855] INFO ALGORITHM:	research_algorithm
2026-09-24 20:08:44,301 fflow.py init [line:901] INFO SCENE:		horizontal FL with 1 <class 'flgo_byzantine.research_algorithm.Server'>, 20 <class 'flgo_byzantine.research_algorithm.Client'>
2026-09-24 20:08:44,391 fflow.py init [line:918] INFO SIMULATOR:	<class 'flgo.simulator.default_simulator.Simulator'>
2026-09-24 20:08:48,692 fflow.py init [line:931] INFO Ready to start.
2026-09-24 20:08:48,692 fedbase.py run [line:300] INFO --------------Initial Evaluation--------------
2026-09-24 20:08:48,692 simple_logger.py log_once [line:14] INFO Current_time:0
2026-09-24 20:08:50,320 simple_logger.py log_once [line:28] INFO test_accuracy                 0.0875
2026-09-24 20:08:50,320 simple_logger.py log_once [line:28] INFO test_loss                     2.3101
2026-09-24 20:08:50,320 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0866
2026-09-24 20:08:50,320 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0874
2026-09-24 20:08:50,320 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2312
2026-09-24 20:08:50,320 simple_logger.py log_once [line:28] INFO val_loss                      2.3109
2026-09-24 20:08:50,320 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.3111
2026-09-24 20:08:50,320 simple_logger.py log_once [line:28] INFO std_val_loss                  0.0785
2026-09-24 20:08:50,320 fedbase.py run [line:303] INFO Eval Time Cost:               1.6280s
2026-09-24 20:08:50,331 asyncbase.py iterate [line:68] INFO Select clients [np.int64(7), np.int64(16), np.int64(18), np.int64(1), np.int64(9), np.int64(19)] at time 1.
2026-09-24 20:08:52,207 asyncbase.py iterate [line:73] INFO Receive new models from clients [16] at time 1
2026-09-24 20:08:52,233 fedbase.py run [line:311] INFO --------------Round 1--------------
2026-09-24 20:08:52,233 simple_logger.py log_once [line:14] INFO Current_time:1
2026-09-24 20:08:53,672 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1817
2026-09-24 20:08:53,672 simple_logger.py log_once [line:28] INFO test_loss                     5.7212
2026-09-24 20:08:53,672 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1866
2026-09-24 20:08:53,672 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1863
2026-09-24 20:08:53,672 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3514
2026-09-24 20:08:53,672 simple_logger.py log_once [line:28] INFO val_loss                      5.6867
2026-09-24 20:08:53,672 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.6901
2026-09-24 20:08:53,672 simple_logger.py log_once [line:28] INFO std_val_loss                  3.3005
2026-09-24 20:08:53,672 fedbase.py run [line:316] INFO Eval Time Cost:               1.4388s
2026-09-24 20:08:53,681 asyncbase.py iterate [line:68] INFO Select clients [np.int64(15)] at time 2.
2026-09-24 20:08:53,990 asyncbase.py iterate [line:73] INFO Receive new models from clients [7] at time 2
2026-09-24 20:08:54,013 fedbase.py run [line:311] INFO --------------Round 2--------------
2026-09-24 20:08:54,013 simple_logger.py log_once [line:14] INFO Current_time:2
2026-09-24 20:08:55,453 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1692
2026-09-24 20:08:55,453 simple_logger.py log_once [line:28] INFO test_loss                     5.7435
2026-09-24 20:08:55,453 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1734
2026-09-24 20:08:55,453 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1732
2026-09-24 20:08:55,453 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2958
2026-09-24 20:08:55,453 simple_logger.py log_once [line:28] INFO val_loss                      5.7104
2026-09-24 20:08:55,453 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.7197
2026-09-24 20:08:55,453 simple_logger.py log_once [line:28] INFO std_val_loss                  3.7970
2026-09-24 20:08:55,453 fedbase.py run [line:316] INFO Eval Time Cost:               1.4403s
2026-09-24 20:08:55,462 asyncbase.py iterate [line:73] INFO Receive new models from clients [1, 19, 18] at time 3
2026-09-24 20:08:55,503 fedbase.py run [line:311] INFO --------------Round 3--------------
2026-09-24 20:08:55,503 simple_logger.py log_once [line:14] INFO Current_time:3
2026-09-24 20:08:56,946 simple_logger.py log_once [line:28] INFO test_accuracy                 0.2239
2026-09-24 20:08:56,946 simple_logger.py log_once [line:28] INFO test_loss                     6.5202
2026-09-24 20:08:56,946 simple_logger.py log_once [line:28] INFO val_accuracy                  0.2314
2026-09-24 20:08:56,946 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.2316
2026-09-24 20:08:56,946 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3422
2026-09-24 20:08:56,946 simple_logger.py log_once [line:28] INFO val_loss                      6.4495
2026-09-24 20:08:56,946 simple_logger.py log_once [line:28] INFO mean_val_loss                 6.4655
2026-09-24 20:08:56,946 simple_logger.py log_once [line:28] INFO std_val_loss                  4.7421
2026-09-24 20:08:56,946 fedbase.py run [line:316] INFO Eval Time Cost:               1.4435s
2026-09-24 20:08:56,955 asyncbase.py iterate [line:68] INFO Select clients [np.int64(2), np.int64(7), np.int64(11), np.int64(12)] at time 4.
2026-09-24 20:08:58,153 asyncbase.py iterate [line:73] INFO Receive new models from clients [9, 12, 15] at time 4
2026-09-24 20:08:58,194 fedbase.py run [line:311] INFO --------------Round 4--------------
2026-09-24 20:08:58,194 simple_logger.py log_once [line:14] INFO Current_time:4
2026-09-24 20:08:59,640 simple_logger.py log_once [line:28] INFO test_accuracy                 0.0893
2026-09-24 20:08:59,640 simple_logger.py log_once [line:28] INFO test_loss                     2.8820
2026-09-24 20:08:59,640 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0907
2026-09-24 20:08:59,640 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0904
2026-09-24 20:08:59,640 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2536
2026-09-24 20:08:59,640 simple_logger.py log_once [line:28] INFO val_loss                      2.8760
2026-09-24 20:08:59,640 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.8774
2026-09-24 20:08:59,640 simple_logger.py log_once [line:28] INFO std_val_loss                  1.0478
2026-09-24 20:08:59,640 fedbase.py run [line:316] INFO Eval Time Cost:               1.4455s
2026-09-24 20:08:59,648 asyncbase.py iterate [line:68] INFO Select clients [np.int64(16), np.int64(12), np.int64(0)] at time 5.
2026-09-24 20:09:00,558 asyncbase.py iterate [line:73] INFO Receive new models from clients [2, 11, 12] at time 6
2026-09-24 20:09:00,599 fedbase.py run [line:311] INFO --------------Round 5--------------
2026-09-24 20:09:00,599 simple_logger.py log_once [line:14] INFO Current_time:6
2026-09-24 20:09:02,065 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1018
2026-09-24 20:09:02,065 simple_logger.py log_once [line:28] INFO test_loss                     2.4313
2026-09-24 20:09:02,065 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1010
2026-09-24 20:09:02,065 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1009
2026-09-24 20:09:02,065 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2571
2026-09-24 20:09:02,065 simple_logger.py log_once [line:28] INFO val_loss                      2.4274
2026-09-24 20:09:02,065 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.4276
2026-09-24 20:09:02,065 simple_logger.py log_once [line:28] INFO std_val_loss                  0.5521
2026-09-24 20:09:02,065 fedbase.py run [line:316] INFO Eval Time Cost:               1.4668s
2026-09-24 20:09:02,074 asyncbase.py iterate [line:68] INFO Select clients [np.int64(6)] at time 7.
2026-09-24 20:09:02,371 asyncbase.py iterate [line:73] INFO Receive new models from clients [7, 16, 6] at time 7
2026-09-24 20:09:02,415 fedbase.py run [line:311] INFO --------------Round 6--------------
2026-09-24 20:09:02,415 simple_logger.py log_once [line:14] INFO Current_time:7
2026-09-24 20:09:03,847 simple_logger.py log_once [line:28] INFO test_accuracy                 0.2475
2026-09-24 20:09:03,847 simple_logger.py log_once [line:28] INFO test_loss                     2.2233
2026-09-24 20:09:03,847 simple_logger.py log_once [line:28] INFO val_accuracy                  0.2502
2026-09-24 20:09:03,847 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.2506
2026-09-24 20:09:03,847 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3705
2026-09-24 20:09:03,847 simple_logger.py log_once [line:28] INFO val_loss                      2.2215
2026-09-24 20:09:03,847 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.2215
2026-09-24 20:09:03,847 simple_logger.py log_once [line:28] INFO std_val_loss                  0.1672
2026-09-24 20:09:03,847 fedbase.py run [line:316] INFO Eval Time Cost:               1.4320s
2026-09-24 20:09:03,856 asyncbase.py iterate [line:68] INFO Select clients [np.int64(1), np.int64(16), np.int64(13), np.int64(14), np.int64(19)] at time 8.
2026-09-24 20:09:05,368 asyncbase.py iterate [line:73] INFO Receive new models from clients [0] at time 8
2026-09-24 20:09:05,390 fedbase.py run [line:311] INFO --------------Round 7--------------
2026-09-24 20:09:05,390 simple_logger.py log_once [line:14] INFO Current_time:8
2026-09-24 20:09:06,853 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1032
2026-09-24 20:09:06,853 simple_logger.py log_once [line:28] INFO test_loss                     2.7904
2026-09-24 20:09:06,853 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0983
2026-09-24 20:09:06,853 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0993
2026-09-24 20:09:06,853 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2871
2026-09-24 20:09:06,853 simple_logger.py log_once [line:28] INFO val_loss                      2.7922
2026-09-24 20:09:06,853 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.7899
2026-09-24 20:09:06,853 simple_logger.py log_once [line:28] INFO std_val_loss                  1.0122
2026-09-24 20:09:06,853 fedbase.py run [line:316] INFO Eval Time Cost:               1.4630s
2026-09-24 20:09:06,862 asyncbase.py iterate [line:68] INFO Select clients [np.int64(7)] at time 9.
2026-09-24 20:09:07,169 asyncbase.py iterate [line:73] INFO Receive new models from clients [19, 7] at time 9
2026-09-24 20:09:07,208 fedbase.py run [line:311] INFO --------------Round 8--------------
2026-09-24 20:09:07,208 simple_logger.py log_once [line:14] INFO Current_time:9
2026-09-24 20:09:08,649 simple_logger.py log_once [line:28] INFO test_accuracy                 0.2025
2026-09-24 20:09:08,649 simple_logger.py log_once [line:28] INFO test_loss                     2.8740
2026-09-24 20:09:08,649 simple_logger.py log_once [line:28] INFO val_accuracy                  0.2001
2026-09-24 20:09:08,649 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.2007
2026-09-24 20:09:08,650 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3437
2026-09-24 20:09:08,650 simple_logger.py log_once [line:28] INFO val_loss                      2.8686
2026-09-24 20:09:08,650 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.8662
2026-09-24 20:09:08,650 simple_logger.py log_once [line:28] INFO std_val_loss                  1.6810
2026-09-24 20:09:08,650 fedbase.py run [line:316] INFO Eval Time Cost:               1.4415s
2026-09-24 20:09:08,658 asyncbase.py iterate [line:68] INFO Select clients [np.int64(19), np.int64(4)] at time 10.
2026-09-24 20:09:09,270 asyncbase.py iterate [line:73] INFO Receive new models from clients [1] at time 10
2026-09-24 20:09:09,292 fedbase.py run [line:311] INFO --------------Round 9--------------
2026-09-24 20:09:09,292 simple_logger.py log_once [line:14] INFO Current_time:10
2026-09-24 20:09:10,727 simple_logger.py log_once [line:28] INFO test_accuracy                 0.2104
2026-09-24 20:09:10,727 simple_logger.py log_once [line:28] INFO test_loss                     11.4210
2026-09-24 20:09:10,727 simple_logger.py log_once [line:28] INFO val_accuracy                  0.2168
2026-09-24 20:09:10,727 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.2172
2026-09-24 20:09:10,727 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3825
2026-09-24 20:09:10,727 simple_logger.py log_once [line:28] INFO val_loss                      11.3267
2026-09-24 20:09:10,727 simple_logger.py log_once [line:28] INFO mean_val_loss                 11.3187
2026-09-24 20:09:10,727 simple_logger.py log_once [line:28] INFO std_val_loss                  7.5120
2026-09-24 20:09:10,727 fedbase.py run [line:316] INFO Eval Time Cost:               1.4349s
2026-09-24 20:09:10,736 asyncbase.py iterate [line:68] INFO Select clients [np.int64(0)] at time 11.
2026-09-24 20:09:11,035 asyncbase.py iterate [line:73] INFO Receive new models from clients [16, 14, 13] at time 11
2026-09-24 20:09:11,083 fedbase.py run [line:311] INFO --------------Round 10--------------
2026-09-24 20:09:11,083 simple_logger.py log_once [line:14] INFO Current_time:11
2026-09-24 20:09:12,522 simple_logger.py log_once [line:28] INFO test_accuracy                 0.2219
2026-09-24 20:09:12,522 simple_logger.py log_once [line:28] INFO test_loss                     10.7378
2026-09-24 20:09:12,522 simple_logger.py log_once [line:28] INFO val_accuracy                  0.2250
2026-09-24 20:09:12,522 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.2254
2026-09-24 20:09:12,522 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3818
2026-09-24 20:09:12,522 simple_logger.py log_once [line:28] INFO val_loss                      10.6343
2026-09-24 20:09:12,522 simple_logger.py log_once [line:28] INFO mean_val_loss                 10.6332
2026-09-24 20:09:12,522 simple_logger.py log_once [line:28] INFO std_val_loss                  7.3563
2026-09-24 20:09:12,522 fedbase.py run [line:316] INFO Eval Time Cost:               1.4393s
2026-09-24 20:09:12,531 asyncbase.py iterate [line:68] INFO Select clients [np.int64(3), np.int64(7), np.int64(2)] at time 12.
2026-09-24 20:09:13,453 asyncbase.py iterate [line:73] INFO Receive new models from clients [0, 2] at time 12
2026-09-24 20:09:13,494 fedbase.py run [line:311] INFO --------------Round 11--------------
2026-09-24 20:09:13,494 simple_logger.py log_once [line:14] INFO Current_time:12
2026-09-24 20:09:14,966 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1978
2026-09-24 20:09:14,966 simple_logger.py log_once [line:28] INFO test_loss                     2.9552
2026-09-24 20:09:14,966 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1952
2026-09-24 20:09:14,966 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1963
2026-09-24 20:09:14,966 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3650
2026-09-24 20:09:14,966 simple_logger.py log_once [line:28] INFO val_loss                      2.9509
2026-09-24 20:09:14,966 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.9483
2026-09-24 20:09:14,966 simple_logger.py log_once [line:28] INFO std_val_loss                  1.3785
2026-09-24 20:09:14,966 fedbase.py run [line:316] INFO Eval Time Cost:               1.4723s
2026-09-24 20:09:14,975 asyncbase.py iterate [line:68] INFO Select clients [np.int64(13), np.int64(12)] at time 13.
2026-09-24 20:09:15,582 asyncbase.py iterate [line:73] INFO Receive new models from clients [4, 19] at time 13
2026-09-24 20:09:15,622 fedbase.py run [line:311] INFO --------------Round 12--------------
2026-09-24 20:09:15,622 simple_logger.py log_once [line:14] INFO Current_time:13
2026-09-24 20:09:17,060 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1996
2026-09-24 20:09:17,060 simple_logger.py log_once [line:28] INFO test_loss                     3.4522
2026-09-24 20:09:17,060 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1967
2026-09-24 20:09:17,060 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1978
2026-09-24 20:09:17,060 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3669
2026-09-24 20:09:17,060 simple_logger.py log_once [line:28] INFO val_loss                      3.4365
2026-09-24 20:09:17,060 simple_logger.py log_once [line:28] INFO mean_val_loss                 3.4338
2026-09-24 20:09:17,060 simple_logger.py log_once [line:28] INFO std_val_loss                  1.7783
2026-09-24 20:09:17,060 fedbase.py run [line:316] INFO Eval Time Cost:               1.4378s
2026-09-24 20:09:17,068 asyncbase.py iterate [line:68] INFO Select clients [np.int64(5), np.int64(16)] at time 14.
2026-09-24 20:09:17,669 asyncbase.py iterate [line:73] INFO Receive new models from clients [3, 12, 7] at time 14
2026-09-24 20:09:17,716 fedbase.py run [line:311] INFO --------------Round 13--------------
2026-09-24 20:09:17,716 simple_logger.py log_once [line:14] INFO Current_time:14
2026-09-24 20:09:19,160 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1031
2026-09-24 20:09:19,160 simple_logger.py log_once [line:28] INFO test_loss                     2.5592
2026-09-24 20:09:19,160 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0978
2026-09-24 20:09:19,160 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0988
2026-09-24 20:09:19,160 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2856
2026-09-24 20:09:19,160 simple_logger.py log_once [line:28] INFO val_loss                      2.5644
2026-09-24 20:09:19,160 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.5642
2026-09-24 20:09:19,160 simple_logger.py log_once [line:28] INFO std_val_loss                  0.6439
2026-09-24 20:09:19,160 fedbase.py run [line:316] INFO Eval Time Cost:               1.4434s
2026-09-24 20:09:19,168 asyncbase.py iterate [line:68] INFO Select clients [np.int64(17), np.int64(3)] at time 15.
2026-09-24 20:09:19,773 asyncbase.py iterate [line:73] INFO Receive new models from clients [5, 13] at time 15
2026-09-24 20:09:19,813 fedbase.py run [line:311] INFO --------------Round 14--------------
2026-09-24 20:09:19,813 simple_logger.py log_once [line:14] INFO Current_time:15
2026-09-24 20:09:21,251 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1060
2026-09-24 20:09:21,251 simple_logger.py log_once [line:28] INFO test_loss                     3.4872
2026-09-24 20:09:21,251 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1065
2026-09-24 20:09:21,251 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1062
2026-09-24 20:09:21,251 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2647
2026-09-24 20:09:21,251 simple_logger.py log_once [line:28] INFO val_loss                      3.4984
2026-09-24 20:09:21,251 simple_logger.py log_once [line:28] INFO mean_val_loss                 3.4977
2026-09-24 20:09:21,251 simple_logger.py log_once [line:28] INFO std_val_loss                  1.6330
