E:\fl-experiment\.venv\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-09-24 20:14:53,292 fflow.py init [line:848] INFO PROCESS ID:	39400
2026-09-24 20:14:53,292 fflow.py init [line:849] INFO Initializing devices: cuda:0 will be used for this running.
2026-09-24 20:14:53,292 fflow.py init [line:852] INFO BENCHMARK:	flgo.benchmark.mnist_classification
2026-09-24 20:14:53,292 fflow.py init [line:853] INFO TASK:			E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20
2026-09-24 20:14:53,293 fflow.py init [line:854] INFO MODEL:		flgo.benchmark.mnist_classification.model.cnn
2026-09-24 20:14:53,293 fflow.py init [line:855] INFO ALGORITHM:	research_algorithm
2026-09-24 20:14:54,279 fflow.py init [line:901] INFO SCENE:		horizontal FL with 1 <class 'flgo_byzantine.research_algorithm.Server'>, 20 <class 'flgo_byzantine.research_algorithm.Client'>
2026-09-24 20:14:54,363 fflow.py init [line:918] INFO SIMULATOR:	<class 'flgo.simulator.default_simulator.Simulator'>
2026-09-24 20:14:58,586 fflow.py init [line:931] INFO Ready to start.
2026-09-24 20:14:58,586 fedbase.py run [line:300] INFO --------------Initial Evaluation--------------
2026-09-24 20:14:58,586 simple_logger.py log_once [line:14] INFO Current_time:0
2026-09-24 20:15:00,139 simple_logger.py log_once [line:28] INFO test_accuracy                 0.0875
2026-09-24 20:15:00,139 simple_logger.py log_once [line:28] INFO test_loss                     2.3101
2026-09-24 20:15:00,139 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0866
2026-09-24 20:15:00,139 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0874
2026-09-24 20:15:00,139 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2312
2026-09-24 20:15:00,139 simple_logger.py log_once [line:28] INFO val_loss                      2.3109
2026-09-24 20:15:00,139 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.3111
2026-09-24 20:15:00,139 simple_logger.py log_once [line:28] INFO std_val_loss                  0.0785
2026-09-24 20:15:00,140 fedbase.py run [line:303] INFO Eval Time Cost:               1.5534s
2026-09-24 20:15:00,150 asyncbase.py iterate [line:68] INFO Select clients [np.int64(7), np.int64(16), np.int64(18), np.int64(1), np.int64(9), np.int64(19)] at time 1.
2026-09-24 20:15:02,082 asyncbase.py iterate [line:73] INFO Receive new models from clients [16] at time 1
2026-09-24 20:15:02,120 fedbase.py run [line:311] INFO --------------Round 1--------------
2026-09-24 20:15:02,120 simple_logger.py log_once [line:14] INFO Current_time:1
2026-09-24 20:15:03,563 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1817
2026-09-24 20:15:03,563 simple_logger.py log_once [line:28] INFO test_loss                     5.7211
2026-09-24 20:15:03,563 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1866
2026-09-24 20:15:03,563 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1863
2026-09-24 20:15:03,563 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3514
2026-09-24 20:15:03,563 simple_logger.py log_once [line:28] INFO val_loss                      5.6867
2026-09-24 20:15:03,563 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.6900
2026-09-24 20:15:03,563 simple_logger.py log_once [line:28] INFO std_val_loss                  3.3006
2026-09-24 20:15:03,563 fedbase.py run [line:316] INFO Eval Time Cost:               1.4438s
2026-09-24 20:15:03,572 asyncbase.py iterate [line:68] INFO Select clients [np.int64(15)] at time 2.
2026-09-24 20:15:03,877 asyncbase.py iterate [line:73] INFO Receive new models from clients [7] at time 2
2026-09-24 20:15:03,903 fedbase.py run [line:311] INFO --------------Round 2--------------
2026-09-24 20:15:03,903 simple_logger.py log_once [line:14] INFO Current_time:2
2026-09-24 20:15:05,350 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1690
2026-09-24 20:15:05,350 simple_logger.py log_once [line:28] INFO test_loss                     5.7434
2026-09-24 20:15:05,350 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1737
2026-09-24 20:15:05,350 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1735
2026-09-24 20:15:05,350 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2962
2026-09-24 20:15:05,350 simple_logger.py log_once [line:28] INFO val_loss                      5.7103
2026-09-24 20:15:05,350 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.7196
2026-09-24 20:15:05,350 simple_logger.py log_once [line:28] INFO std_val_loss                  3.7973
2026-09-24 20:15:05,350 fedbase.py run [line:316] INFO Eval Time Cost:               1.4474s
2026-09-24 20:15:05,358 asyncbase.py iterate [line:73] INFO Receive new models from clients [1, 19, 18] at time 3
2026-09-24 20:15:05,415 fedbase.py run [line:311] INFO --------------Round 3--------------
2026-09-24 20:15:05,416 simple_logger.py log_once [line:14] INFO Current_time:3
2026-09-24 20:15:06,872 simple_logger.py log_once [line:28] INFO test_accuracy                 0.2240
2026-09-24 20:15:06,873 simple_logger.py log_once [line:28] INFO test_loss                     6.5183
2026-09-24 20:15:06,873 simple_logger.py log_once [line:28] INFO val_accuracy                  0.2312
2026-09-24 20:15:06,873 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.2315
2026-09-24 20:15:06,873 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3420
2026-09-24 20:15:06,873 simple_logger.py log_once [line:28] INFO val_loss                      6.4475
2026-09-24 20:15:06,873 simple_logger.py log_once [line:28] INFO mean_val_loss                 6.4636
2026-09-24 20:15:06,873 simple_logger.py log_once [line:28] INFO std_val_loss                  4.7421
2026-09-24 20:15:06,873 fedbase.py run [line:316] INFO Eval Time Cost:               1.4573s
2026-09-24 20:15:06,881 asyncbase.py iterate [line:68] INFO Select clients [np.int64(2), np.int64(7), np.int64(11), np.int64(12)] at time 4.
2026-09-24 20:15:08,112 asyncbase.py iterate [line:73] INFO Receive new models from clients [9, 12, 15] at time 4
2026-09-24 20:15:08,162 fedbase.py run [line:311] INFO --------------Round 4--------------
